D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_1.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_2.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_3.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_KO_4.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_1.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_2.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_3.raw	D:\Marta\Mustang\Aorta March 2023\20230303_EXPL4_MaMu_SA_M770_Ao_WT_4.raw	Corum	Student's T-test Significant KO_WT	Student's T-test significant	minus LOG(P-value)	Difference	-Log Student's T-test p-value KO_WT	Student's T-test q-value KO_WT	Student's T-test Difference KO_WT	Student's T-test Test statistic KO_WT	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
#!{Type}E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	T	T	T	T	T
#!{C:Genotype}KO	KO	KO	KO	WT	WT	WT	WT														
18.4239654541016	16.78662109375	17.2307453155518	18.0497817993164	18.2983264923096	16.5295429229736	18.3757228851318	18.4735946655273				0.196044753	-0.296518326	0.196044753385764	1	-0.296518325805664	-0.425812307247652	A0A075B5L0	P01643;P01644;P01645;P01647;A0A075B5L0	A0A075B5L0_MOUSE	Igkv10-95	Isoform of A0A0G2JFY3, Protein Igkv10-95
21.8764266967773	22.1142616271973	23.8857650756836	19.832311630249	21.2649917602539	22.2563800811768	23.1221828460693	18.3021030426025				0.204798611	0.690776825	0.20479861117915	1	0.690776824951172	0.480512473727322	A0A075B5M7;A0A0G2JDV4	A0A0B4J1J1;A0A0B4J1J2;A0A0G2JDV4;A0A075B5M7	A0A075B5M7_MOUSE;A0A0G2JDV4_MOUSE	Igkv5-39	Isoform of A0A0G2JDV4, Protein Igkv5-39
21.7430400848389	20.9742126464844	21.4626388549805	21.7593879699707	21.6005954742432	20.7634449005127	22.0657901763916	21.0019588470459				0.138436611	0.12687254	0.138436610817891	1	0.126872539520264	0.283949475178566	A0A075B5N4;A0A0G2JF28	A0A0G2JE47;A0A0G2JF28;A0A075B5N3;A0A075B5N4	A0A075B5N4_MOUSE;A0A0G2JF28_MOUSE	Igkv8-27	Isoform of A0A0G2JF28, Protein Igkv8-27
20.8112735748291	19.8816032409668	20.8112735748291	20.2763977050781	20.2065753936768	20.2989387512207	21.3211345672607	20.0156326293945				0.014085547	-0.015433311	0.0140855465681074	1	-0.0154333114624023	-0.0328326340603848	A0A075B5P2	P01837;A0A075B5P2	A0A075B5P2_MOUSE	Igkc	Isoform of P01837, Protein Igkc (Fragment)
23.9846801757813	23.0359058380127	24.7593879699707	22.7491912841797	23.3238868713379	23.1976051330566	24.384428024292	22.7389240264893				0.146068905	0.221080303	0.146068905396793	1	0.221080303192139	0.327002393241557	A0A075B5P3	F6TQW2;P01863;P01864;P01865;A0A075B5P3;A0A0A6YY53	A0A075B5P3_MOUSE	Ighg2b	Isoform of P01867, Protein Ighg2b (Fragment)
19.135498046875	19.1797943115234	19.5442848205566	16.649299621582	19.5909404754639	19.2260704040527	20.1580772399902	16.9009304046631				0.131658201	-0.341785431	0.131658200732773	1	-0.341785430908203	-0.317271314409338	A0A075B5P4;A0A0A6YWR2	A0A075B5P4;A0A0A6YWR2	A0A075B5P4_MOUSE;A0A0A6YWR2_MOUSE	Ighg1	Isoform of P01869, Ig gamma-1 chain C region secreted form (Fragment)
22.1794967651367	21.4425296783447	21.3751754760742	22.5684833526611	21.7674922943115	21.139461517334	21.6971035003662	22.4144172668457				0.132036337	0.136802673	0.132036337341708	1	0.136802673339844	0.279101506135929	A0A075B5P5	A0A075B5P5;P03987;P03987-2	A0A075B5P5_MOUSE	Ighg3	Protein Ighg3 (Fragment)
17.9516143798828	16.9484577178955	17.6039600372314	19.3370800018311	18.2046813964844	18.1148147583008	18.5985679626465	18.894702911377				0.405966983	-0.492913723	0.405966982569755	1	-0.492913722991943	-0.775859250526391	A0A075B5R2;A0A075B5R3;A0A0A6YX91	A0A075B5R2;A0A0A6YX91;P01786;A0A075B5R3	A0A075B5R2_MOUSE;A0A075B5R3_MOUSE;A0A0A6YX91_MOUSE	Ighv7-2;Ighv7-3	Protein Ighv7-3 (Fragment)
20.8726749420166	19.3791675567627	19.8777961730957	19.3814754486084	19.7036476135254	17.4457263946533	19.8067092895508	18.9593391418457				0.667559112	0.89892292	0.667559111836607	1	0.898922920227051	1.20100162312461	A0A075B5R4	A0A075B5R4;A0A075B5R9	A0A075B5R4_MOUSE	Ighv14-1	Protein Ighv14-1 (Fragment)
21.0359058380127	20.287712097168	17.1066226959229	21.8575687408447	21.0821285247803	19.6459560394287	20.0156326293945	21.2477149963379				0.145851569	-0.425905704	0.145851568892535	1	-0.425905704498291	-0.351616430241036	A0A075B5R5	A0A075B5R5;P01806;P01807;P01808;P01810;P01812	A0A075B5R5_MOUSE	Ighv4-1	Protein Ighv4-1 (Fragment)
18.1642990112305	17.9791011810303	18.7588291168213	19.2819938659668	18.8623809814453	17.2216053009033	18.6455497741699	18.784839630127				0.128771806	0.167461872	0.128771806121105	1	0.16746187210083	0.284580243257162	A0A075B5T2	A0A075B5T2	A0A075B5T2_MOUSE	Ighv6-3	Protein Ighv6-3 (Fragment)
19.6186580657959	18.8229465484619	19.445125579834	17.0716876983643	19.7001876831055	16.8879261016846	19.1556949615479	16.4167461395264				0.291717542	0.699465752	0.291717541876207	1	0.699465751647949	0.635334010192873	A0A075B5V8;A0A0A6YY41	A0A0A6YY41;A0A075B5V8	A0A075B5V8_MOUSE;A0A0A6YY41_MOUSE	Ighv1-47	Isoform of A0A0A6YY41, Protein Ighv1-47
18.5088386535645	19.0808391571045	18.6230850219727	19.0985279083252	18.6269645690918	17.9180488586426	19.3633232116699	18.5848922729492				0.250881633	0.204515457	0.250881632857981	1	0.20451545715332	0.472759353097572	A0A075B5W1;A0A075B5X7;A0A0G2JFS5	A0A075B5W1;A0A0G2JFS5;A0A075B5X7	A0A075B5W1_MOUSE;A0A075B5X7_MOUSE;A0A0G2JFS5_MOUSE	Ighv1-50;Ighv1-69	Protein Ighv1-50 (Fragment)
17.6525382995605	17.2339515686035	20.2065753936768	19.469898223877	19.6554565429688	19.2941627502441	20.6275615692139	19.3010711669922				0.666922856	-1.078822136	0.666922855915135	1	-1.07882213592529	-1.2275141987482	A0A075B5W6	A0A075B5W6	A0A075B5W6_MOUSE	Ighv1-55	Protein Ighv1-55 (Fragment)
15.5730609893799	15.4985094070435	17.8199043273926	16.378246307373	16.3738880157471	17.8439788818359	17.5674800872803	17.3778591156006				0.765697178	-0.973371267	0.765697178247058	1	-0.973371267318726	-1.33899020686192	A0A075B5X8;A0A075B5Y0;A0A075B678;A0A0G2JDE1	A0A075B5Y0;A0A0G2JDE1;A0A075B5X8;A0A075B678	A0A075B5X8_MOUSE;A0A075B5Y0_MOUSE;A0A075B678_MOUSE;A0A0G2JDE1_MOUSE	Ighv8-12;Ighv8-13;Ighv8-14	Isoform of A0A0G2JDE1, Protein Ighv8-12
16.852746963501	17.040735244751	23.2961406707764	16.9767417907715	23.0641460418701	23.5869197845459	23.5521545410156	18.131441116333				0.8630579	-3.542074203	0.863057900089979	1	-3.54207420349121	-1.63627228285121	A0A075B663	A0A075B663;P01723;P01724;P01726;P01727	A0A075B663_MOUSE	Iglv1	Protein Iglv1 (Fragment)
21.4118328094482	20.2989387512207	20.730655670166	21.4676208496094	20.6627521514893	20.4272632598877	20.9530487060547	21.126916885376				0.232068209	0.184766769	0.232068208817382	1	0.18476676940918	0.438660742566687	A0A075B664	P01728;P01729;A0A075B664	A0A075B664_MOUSE	Iglv2	Isoform of P01728, Protein Iglv2
